registr,id_ve_zdroji,pravni_forma,je_fyzicka_osoba,ma_ico,ico,kategorie,podobnost_nazvu
red,27F515AB994D92F7A80FECFCCC1DC54D35D7CA71,706,False,True,01141422,ico_ares_shoda_nazvu,1.0
red,0F97586F1E2AD4C3549AC42AAD083B8D20EEC8A6,145,False,True,75138450,ico_ares_shoda_nazvu,1.0
red,FO,100,True,True,,ico_ares_shoda_nazvu,
red,F85D7D0972AC8282D83024C9FFF4DA8B46E512A2,141,False,True,28828984,ico_ares_shoda_nazvu,1.0
red,09BC84CEFA5679AA03C533DE663576AF462E238F,161,False,True,21302430,ico_ares_shoda_nazvu,1.0
red,A377A5DF1F75F58B740D0121E077D2CCE3DBB384,141,False,True,26075679,ico_ares_shoda_nazvu,1.0
red,762B918B6141DF99D43888FBA14A039C702AEF47,706,False,True,22712372,ico_ares_shoda_nazvu,1.0
red,077FA0C80D11342BBFBD3AF9BFBB807AC1170E19,141,False,True,27505189,ico_ares_shoda_nazvu,1.0
red,E5DEA452176F653ADAD9381A1B09C56FC45E26FC,141,False,True,24787701,ico_ares_shoda_nazvu,1.0
red,C0BC4C1C8C6696D921DAB7A192A6291C887B3972,112,False,True,14038625,ico_ares_shoda_nazvu,1.0
red,FA851028142573BC5DF2B6C21B5AD396E27B7E5C,145,False,True,26709694,ico_ares_shoda_nazvu,1.0
red,FO,100,True,True,,ico_ares_shoda_nazvu,
red,AC655ED6587729C2F47BE3E2E8D66873981350C8,706,False,True,00407054,ico_ares_shoda_nazvu,1.0
red,667512B964E0BDF1918F7EDBE7DB258FC8837041,706,False,True,26984423,ico_ares_shoda_nazvu,1.0
red,6F4B4E9824CF1E6FF5EBC1EC713AD5BAC14F0D14,706,False,True,60163496,ico_ares_shoda_nazvu,1.0
red,E9D0AF6A93C12BCEE2BC5366526D80D975A72C55,112,False,True,27775518,ico_ares_shoda_nazvu,1.0
red,207F2E9ACB04D4DF53F0D1B427751F8C033B3B99,161,False,True,22689001,ico_ares_shoda_nazvu,1.0
red,7F95CCD6E6A07A4580FC8DE87C93A1034AC94AC6,112,False,True,09233822,ico_ares_shoda_nazvu,1.0
red,4D0CDFD1333D8B7531B9AF32BB5F34F656047E33,141,False,True,27668134,ico_ares_shoda_nazvu,1.0
red,30ED48C99347E856DD19B1881FE539FAC3A6FC71,112,False,True,14090449,ico_ares_shoda_nazvu,1.0
red,876F12F9373AFF448D584EC095C08759BDBADA6D,121,False,True,28727932,ico_ares_shoda_nazvu,1.0
red,99FA3F060790E48A085E27ED95CB262E3A59EBB2,361,False,True,00027383,ico_ares_shoda_nazvu,1.0
red,99FE7517788A25C79F3856BF818FFF194C499305,112,False,True,01449036,ico_ares_shoda_nazvu,1.0
red,1D1286B9ADE65492332D3032477A42E6AA1FFE73,801,False,True,00303526,ico_ares_shoda_nazvu,1.0
red,0466AF8401C4B29183ABEF36864E779F71E87A88,145,False,True,25994000,ico_ares_shoda_nazvu,1.0
red,F6CE991279CCFBA25438E82C144D018F4F43BA24,706,False,True,19293950,ico_ares_shoda_nazvu,1.0
red,62DBC7658EE459FB49029776EE6DECB54A5C77BF,706,False,True,28554272,ico_ares_shoda_nazvu,1.0
red,7765EFEC763004F9311B6FAA6A7E2C0CA84AEB01,112,False,True,28342631,ico_ares_shoda_nazvu,1.0
red,4DA5DA173EA9C5BF87F411489A27A07EB71F3C20,145,False,True,06650953,ico_ares_shoda_nazvu,1.0
red,21746CFE8690264DF7911216D8AC2C1D180188F0,706,False,True,22852387,ico_ares_shoda_nazvu,1.0
red,CA61E9F6A715C3E27D1698EFCE3C0D277EAE3DBA,701,False,True,27002977,ico_ares_shoda_nazvu,1.0
red,983D370E0499CAD081ECCD98801A5101270FC996,601,False,True,62157124,ico_ares_shoda_nazvu,1.0
red,3926FBC89DFE555CD568394337AFB8461DFB1C18,112,False,True,45358397,ico_ares_shoda_nazvu,1.0
red,EA092278447498A64706250E0B86EA0C2CDF1928,801,False,True,00295892,ico_ares_shoda_nazvu,1.0
red,29C592B0010D0EEE8052094659751396BCDD40D4,801,False,True,00296481,ico_ares_shoda_nazvu,1.0
red,FO,100,True,True,,ico_ares_shoda_nazvu,
red,18B819CEA6DCA74D655352A01EB7F42E83AFEA57,145,False,True,03190978,ico_ares_shoda_nazvu,1.0
red,F39339C91F84900F9FA76A644260810FEBA0B397,145,False,True,28158784,ico_ares_shoda_nazvu,1.0
red,8687134EAAEFF09B8394015117303238C274E191,801,False,True,00296759,ico_ares_shoda_nazvu,1.0
red,FO,100,True,True,,ico_ares_shoda_nazvu,
red,0EC9077128271E92D5EC893F53F3B88441951582,801,False,True,00296007,ico_ares_shoda_nazvu,1.0
red,A2CE2DB1F65BC9415614EC059D77594C3BA7487C,706,False,True,03889076,ico_ares_shoda_nazvu,1.0
red,FO,100,True,True,,ico_ares_shoda_nazvu,
red,874077927B566CF37218A3ED8D98EC2C90FD05F5,706,False,True,22869379,ico_ares_shoda_nazvu,1.0
red,155F76131135CBEEA9719614DFA8BB65F608F73B,801,False,True,00236691,ico_ares_shoda_nazvu,1.0
red,0E3BE29CB0DD9E996CB130CCFF89E87B423929A5,706,False,True,26639327,ico_ares_shoda_nazvu,1.0
red,63F1A8085B5B77BF422F242C8AB307E387DE3D78,706,False,True,26544849,ico_ares_shoda_nazvu,1.0
red,CBB5BBF990526904B016D38810A92823CE4A32E6,145,False,True,01555375,ico_ares_shoda_nazvu,1.0
red,FO,100,True,True,,ico_ares_shoda_nazvu,
red,5BE651A95203668214AEBA64931728842176AA21,706,False,True,22609814,ico_ares_shoda_nazvu,1.0
red,FO,100,True,True,,ico_ares_shoda_nazvu,
red,F212C20F5C63E010EEBE4F399030AB040D8C8598,112,False,True,07538731,ico_ares_shoda_nazvu,1.0
red,0CA28C24D1142E9421DFBC0A9A52B82AAD14B122,801,False,True,67340474,ico_ares_shoda_nazvu,1.0
red,0D188D4FE615149F11DDFC8059BA5D68A253C89B,141,False,True,28453051,ico_ares_shoda_nazvu,1.0
red,3A0E75D2618D413AE7506DA866764D47CE539E3D,145,False,True,21235562,ico_ares_shoda_nazvu,1.0
red,DC36455AF9AD1BF3816E8305BFA081BC3D22CD3A,112,False,True,04492501,ico_ares_shoda_nazvu,1.0
red,FO,100,True,True,,ico_ares_shoda_nazvu,
red,5B422F7C5EB8562335A343571EF556BC9E05A19A,112,False,True,26333252,ico_ares_shoda_nazvu,1.0
red,9A95B6A979238218B5A6B3043E2B064C2E0999FD,145,False,True,26714922,ico_ares_shoda_nazvu,1.0
red,04DC2E8A1260AEFB380A1795F841FD2E0E36D9F4,706,False,True,04671503,ico_ares_shoda_nazvu,1.0
red,FO,100,True,True,,ico_ares_shoda_nazvu,
red,5DF16CCE73035956C40200959D914134BEB420BC,145,False,True,27394409,ico_ares_shoda_nazvu,1.0
red,82E94DAD51BAD825774CFE82D27F2C1D5A829E07,112,False,True,62522451,ico_ares_shoda_nazvu,1.0
red,5F9FBE568AE09A4797C549593A93CFA72836E597,112,False,True,07933797,ico_ares_shoda_nazvu,1.0
red,DE2BE8DABD9BC29AE88516A00515E381EBCD1715,706,False,True,26982773,ico_ares_shoda_nazvu,1.0
red,0008023D4880547FC93C8F83EDA6015A23189EFF,706,False,True,09386157,ico_ares_shoda_nazvu,1.0
red,69A652E4D62FA74549887657A09C208071790D88,121,False,True,27424120,ico_ares_shoda_nazvu,1.0
red,F5BB0982C8881E45899DD8F432CA3A48D17BF63D,112,False,True,17770203,ico_ares_shoda_nazvu,1.0
red,889DE7A62A368921751D52654C3EFFDE9AF1F5F9,145,False,True,04344766,ico_ares_shoda_nazvu,1.0
red,B13B4E61C08698AB92354CD027EE97125F20D60F,161,False,True,27045919,ico_ares_shoda_nazvu,1.0
red,07CF26C75F4A4CA7173C07877E30FA7E020E1695,112,False,True,25400339,ico_ares_shoda_nazvu,1.0
red,63614848EF9429AF664E1D1EB4D9946881CF36C3,141,False,True,26081822,ico_ares_shoda_nazvu,1.0
red,EA36D8F59C4D9186143C47AC825EA3D06F32C091,706,False,True,09347607,ico_ares_shoda_nazvu,1.0
red,F46994F478F9AC07FB3A782934A214C2E4BB8D40,112,False,True,24843423,ico_ares_shoda_nazvu,1.0
red,C556160D70531A727689D9452311AAC1CF0BA87E,801,False,True,00297194,ico_ares_shoda_nazvu,1.0
red,7C144326D2C32BDC5043F6D4449A26A0F4F4AE0C,112,False,True,04543734,ico_ares_shoda_nazvu,1.0
red,12EA7EA22AE8205B6F2A87E5A6B740BBF0941950,706,False,True,01383892,ico_ares_shoda_nazvu,1.0
red,AFEAD8711E8DA5245A3CC0C0DCE64FD873EEE3F0,706,False,True,01343971,ico_ares_shoda_nazvu,1.0
red,71591182117123B8D39C39C4268C5BA020D4959F,205,False,True,47119713,ico_ares_shoda_nazvu,1.0
red,F9AAE1C8186427AF3A2F86B92954176288EDA5AB,205,False,True,26910411,ico_ares_shoda_nazvu,1.0
red,0D2F793F16E8DC9D683219862CE5587F2A7971D3,141,False,True,28745418,ico_ares_shoda_nazvu,1.0
red,3E761FFDFCFB34DE556F6C823F204066DFB193D3,736,False,True,65983611,ico_ares_shoda_nazvu,1.0
red,C228766DCC346F0D6529A5171F49ACB0278DA1C3,205,False,True,26156393,ico_ares_shoda_nazvu,1.0
red,1B691C0668EB3B64B8186F39FDCD45C79EE3A007,112,False,True,02325551,ico_ares_shoda_nazvu,1.0
red,845C2D096A073857D32B6D717E24E3383EC69CA5,121,False,True,49901982,ico_ares_shoda_nazvu,1.0
red,1E1F8DDB71243E6B8A93DCABA4861D990A07C894,141,False,True,02298490,ico_ares_shoda_nazvu,1.0
red,807E0AC5E38A744C21E98F87A7481924211060DB,141,False,True,27398757,ico_ares_shoda_nazvu,1.0
red,49D814926447CF7A6C7ADBD8EBBFA0F791289D56,141,False,True,02572079,ico_ares_shoda_nazvu,1.0
red,FO,100,True,True,,ico_ares_shoda_nazvu,
red,6DBABE1C0EE1D70F8ED1AA8C561DDDE832CD211C,112,False,True,15055353,ico_ares_shoda_nazvu,1.0
red,17B4BD1629A223709216202A270DC2C40F595F6D,141,False,True,02314754,ico_ares_shoda_nazvu,1.0
red,32D4C7EBB1B48BFDC3D7BAF16F8963604B6A6032,145,False,True,27177165,ico_ares_shoda_nazvu,1.0
red,606A8DC389201C05CA8CF67C51EDDAAEF2D93270,112,False,True,25505734,ico_ares_shoda_nazvu,1.0
red,8F350C19FB773D46E7504B381751C3CDE747CD49,706,False,True,64330346,ico_ares_shoda_nazvu,1.0
red,38533490E6D12A8ACF4F9F1156B5411673A89BB2,141,False,True,27517730,ico_ares_shoda_nazvu,1.0
red,AA24D096522FA4B503BF1D8EDA75F120F2520D86,706,False,True,09265121,ico_ares_shoda_nazvu,1.0
red,445A3DAF4E9E7A6F6FC68DDE0F6A2A70A1CD8468,141,False,True,26943573,ico_ares_shoda_nazvu,1.0
red,2225DB10BDE718D48670E817780A800E6BD30B77,706,False,True,28559908,ico_ares_shoda_nazvu,1.0
red,FO,100,True,True,,ico_ares_shoda_nazvu,
red,B0C79BA8F5932944CA11F56B75C092380995B19F,112,False,True,48168734,ico_ares_shoda_nazvu,1.0
